Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Camicia con laccio,camicia-con-laccio,DETTAGLI PRODOTTO -Dettaglio laccio -Chiusura con bottoni -Manica lunga -Realizzato in Italia,TwoWay,Apparel & Accessories > Clothing,Shirts,,TRUE,active,,,Title,Camicia con laccio,,,,,39.99,,,TRUE,,,,,,shopify,200,deny,200,g,TRUE,manual,https://www.two-way.it/sitonuovo/wp-content/uploads/2025/09/d000005170_0001_0001-200x300.jpg,1,,,FALSE,Camicia con laccio,"Composizione: 100% COTONE Serve aiuto?: Contattaci all’indirizzo assistenza@two-way.it o al numero +39 3452935994 (Lun-Ven 10-18), un nostro operatore sarà lieto di aiutarti! Spedizione e Resi: Spedizione Spedizioni in Italia gratuita per ordini pari o superiori a 50€. I prodotti verranno consegnati entro 24-48h giorni",Apparel & Accessories > Clothing,,,,,,new,FALSE,,,,,
,camicia-con-laccio,,,,,,TRUE,active,CAM25WE1325-*TIUN3_Bianco_S,,Size,S,Color,Bianco,,,39.99,,,TRUE,,,,,,shopify,200,deny,200,g,TRUE,manual,,1,,https://www.two-way.it/sitonuovo/wp-content/uploads/2025/09/d000005170_0001_0001-200x300.jpg,FALSE,,,Apparel & Accessories > Clothing,,,,,,new,FALSE,,,,,
,camicia-con-laccio,,,,,,TRUE,active,CAM25WE1325-*TIUN3_Bianco_M,,Size,M,Color,Bianco,,,39.99,,,TRUE,,,,,,shopify,200,deny,200,g,TRUE,manual,,1,,https://www.two-way.it/sitonuovo/wp-content/uploads/2025/09/d000005170_0001_0001-200x300.jpg,FALSE,,,Apparel & Accessories > Clothing,,,,,,new,FALSE,,,,,
,camicia-con-laccio,,,,,,TRUE,active,CAM25WE1325-*TIUN3_Bianco_L,,Size,L,Color,Bianco,,,39.99,,,TRUE,,,,,,shopify,200,deny,200,g,TRUE,manual,,1,,https://www.two-way.it/sitonuovo/wp-content/uploads/2025/09/d000005170_0001_0001-200x300.jpg,FALSE,,,Apparel & Accessories > Clothing,,,,,,new,FALSE,,,,,
,camicia-con-laccio,,,,,,TRUE,active,CAM25WE1325-*TIUN3_Blu_S,,Size,S,Color,Blu,,,39.99,,,TRUE,,,,,,shopify,200,deny,200,g,TRUE,manual,,1,,https://www.two-way.it/sitonuovo/wp-content/uploads/2025/09/d000005170_0001_0001-200x300.jpg,FALSE,,,Apparel & Accessories > Clothing,,,,,,new,FALSE,,,,,
,camicia-con-laccio,,,,,,TRUE,active,CAM25WE1325-*TIUN3_Blu_M,,Size,M,Color,Blu,,,39.99,,,TRUE,,,,,,shopify,200,deny,200,g,TRUE,manual,,1,,https://www.two-way.it/sitonuovo/wp-content/uploads/2025/09/d000005170_0001_0001-200x300.jpg,FALSE,,,Apparel & Accessories > Clothing,,,,,,new,FALSE,,,,,
,camicia-con-laccio,,,,,,TRUE,active,CAM25WE1325-*TIUN3_Blu_L,,Size,L,Color,Blu,,,39.99,,,TRUE,,,,,,shopify,200,deny,200,g,TRUE,manual,,1,,https://www.two-way.it/sitonuovo/wp-content/uploads/2025/09/d000005170_0001_0001-200x300.jpg,FALSE,,,Apparel & Accessories > Clothing,,,,,,new,FALSE,,,,,
Camicia con laccio,camicia-con-laccio,DETTAGLI PRODOTTO -Dettaglio laccio -Chiusura con bottoni -Manica lunga -Realizzato in Italia,TwoWay,Apparel & Accessories > Clothing,Shirts,,TRUE,active,,,Title,Camicia con laccio,,,,,39.99,,,TRUE,,,,,,shopify,200,deny,200,g,TRUE,manual,https://www.two-way.it/sitonuovo/wp-content/uploads/2025/09/d000005133_0001_0001-200x300.jpg,1,,,FALSE,Camicia con laccio,"Composizione: 100% COTONE Serve aiuto?: Contattaci all’indirizzo assistenza@two-way.it o al numero +39 3452935994 (Lun-Ven 10-18), un nostro operatore sarà lieto di aiutarti! Spedizione e Resi: Spedizione Spedizioni in Italia gratuita per ordini pari o superiori a 50€. I prodotti verranno consegnati entro 24-48h giorni",Apparel & Accessories > Clothing,,,,,,new,FALSE,,,,,
,camicia-con-laccio,,,,,,TRUE,active,CAM25WE1325-*TIUN22_Blu_S,,Size,S,Color,Blu,,,39.99,,,TRUE,,,,,,shopify,200,deny,200,g,TRUE,manual,,1,,https://www.two-way.it/sitonuovo/wp-content/uploads/2025/09/d000005133_0001_0001-200x300.jpg,FALSE,,,Apparel & Accessories > Clothing,,,,,,new,FALSE,,,,,
,camicia-con-laccio,,,,,,TRUE,active,CAM25WE1325-*TIUN22_Blu_M,,Size,M,Color,Blu,,,39.99,,,TRUE,,,,,,shopify,200,deny,200,g,TRUE,manual,,1,,https://www.two-way.it/sitonuovo/wp-content/uploads/2025/09/d000005133_0001_0001-200x300.jpg,FALSE,,,Apparel & Accessories > Clothing,,,,,,new,FALSE,,,,,
